doc_id,committee_name,session_start_date,source_url,local_doc_path,subject_label,notes
25_ptv_11953408,ועדת הכספים,2026-03-10T12:30:00+02:00,https://fs.knesset.gov.il/25/Committees/25_ptv_11953408.doc,ksafim_protocol_docs\25_ptv_11953408.doc,,
25_ptv_11966892,ועדת הכספים,2026-03-10T10:00:00+02:00,https://fs.knesset.gov.il/25/Committees/25_ptv_11966892.doc,ksafim_protocol_docs\25_ptv_11966892.doc,,
25_ptv_13320026,ועדת הכספים,2026-03-09T19:00:00+02:00,https://fs.knesset.gov.il/25/Committees/25_ptv_13320026.doc,ksafim_protocol_docs\25_ptv_13320026.doc,,
25_ptv_12692005,ועדת הכספים,2026-03-09T12:00:00+02:00,https://fs.knesset.gov.il/25/Committees/25_ptv_12692005.doc,ksafim_protocol_docs\25_ptv_12692005.doc,,
25_ptv_13304890,ועדת הכספים,2026-03-09T10:00:00+02:00,https://fs.knesset.gov.il/25/Committees/25_ptv_13304890.doc,ksafim_protocol_docs\25_ptv_13304890.doc,,
25_ptv_12683863,ועדת הכספים,2026-03-08T15:30:00+02:00,https://fs.knesset.gov.il/25/Committees/25_ptv_12683863.doc,ksafim_protocol_docs\25_ptv_12683863.doc,,
25_ptv_12683784,ועדת הכספים,2026-03-08T14:55:00+02:00,https://fs.knesset.gov.il/25/Committees/25_ptv_12683784.doc,ksafim_protocol_docs\25_ptv_12683784.doc,,
25_ptv_12683708,ועדת הכספים,2026-03-08T14:40:00+02:00,https://fs.knesset.gov.il/25/Committees/25_ptv_12683708.doc,ksafim_protocol_docs\25_ptv_12683708.doc,,
25_ptv_12683657,ועדת הכספים,2026-03-08T12:40:00+02:00,https://fs.knesset.gov.il/25/Committees/25_ptv_12683657.doc,ksafim_protocol_docs\25_ptv_12683657.doc,,
25_ptv_12683606,ועדת הכספים,2026-03-08T10:00:00+02:00,https://fs.knesset.gov.il/25/Committees/25_ptv_12683606.doc,ksafim_protocol_docs\25_ptv_12683606.doc,,
25_ptv_12379698,ועדת הכספים,2026-03-05T19:10:00+02:00,https://fs.knesset.gov.il/25/Committees/25_ptv_12379698.doc,ksafim_protocol_docs\25_ptv_12379698.doc,,
25_ptv_12379622,ועדת הכספים,2026-03-05T17:15:00+02:00,https://fs.knesset.gov.il/25/Committees/25_ptv_12379622.doc,ksafim_protocol_docs\25_ptv_12379622.doc,,
25_ptv_11966702,ועדת הכספים,2026-03-05T14:35:00+02:00,https://fs.knesset.gov.il/25/Committees/25_ptv_11966702.doc,ksafim_protocol_docs\25_ptv_11966702.doc,,
25_ptv_11966733,ועדת הכספים,2026-03-05T12:30:00+02:00,https://fs.knesset.gov.il/25/Committees/25_ptv_11966733.doc,ksafim_protocol_docs\25_ptv_11966733.doc,,
25_ptv_12701085,ועדת הכספים,2026-03-05T10:30:00+02:00,https://fs.knesset.gov.il/25/Committees/25_ptv_12701085.doc,ksafim_protocol_docs\25_ptv_12701085.doc,,
25_ptv_11966699,ועדת הכספים,2026-03-05T10:00:00+02:00,https://fs.knesset.gov.il/25/Committees/25_ptv_11966699.doc,ksafim_protocol_docs\25_ptv_11966699.doc,,
25_ptv_11929025,ועדת הכספים,2026-03-02T14:25:00+02:00,https://fs.knesset.gov.il/25/Committees/25_ptv_11929025.doc,ksafim_protocol_docs\25_ptv_11929025.doc,,
25_ptv_11928949,ועדת הכספים,2026-03-02T13:30:00+02:00,https://fs.knesset.gov.il/25/Committees/25_ptv_11928949.doc,ksafim_protocol_docs\25_ptv_11928949.doc,,
